goos: linux
goarch: amd64
pkg: github.com/aminkbi/taskforge/test/benchmark
cpu: AMD Ryzen 9 5900HS with Radeon Graphics        
BenchmarkSnapshotCosts/admission_age/tenants_64/payload_65536-16         	      30	  25133828 ns/op	       257.0 redis_commands/op	   5667668 redis_network_bytes/op	       130.0 redis_round_trips/op	15944415 B/op	    4165 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_64/payload_65536-16         	      30	  25215516 ns/op	       257.0 redis_commands/op	   5667674 redis_network_bytes/op	       130.0 redis_round_trips/op	15942406 B/op	    4163 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_64/payload_65536-16         	      30	  25521149 ns/op	       257.0 redis_commands/op	   5667675 redis_network_bytes/op	       130.0 redis_round_trips/op	15943005 B/op	    4163 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_64/payload_65536-16         	      30	  27345966 ns/op	       257.0 redis_commands/op	   5667676 redis_network_bytes/op	       130.0 redis_round_trips/op	15942376 B/op	    4163 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_64/payload_65536-16         	      30	  25116374 ns/op	       257.0 redis_commands/op	   5667676 redis_network_bytes/op	       130.0 redis_round_trips/op	15941960 B/op	    4162 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_64/payload_65536-16         	      30	  25181803 ns/op	       257.0 redis_commands/op	   5667672 redis_network_bytes/op	       130.0 redis_round_trips/op	15943072 B/op	    4163 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_64/payload_65536-16         	      30	  25024488 ns/op	       257.0 redis_commands/op	   5667674 redis_network_bytes/op	       130.0 redis_round_trips/op	15942319 B/op	    4163 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_64/payload_65536-16         	      30	  25924217 ns/op	       257.0 redis_commands/op	   5667673 redis_network_bytes/op	       130.0 redis_round_trips/op	15938927 B/op	    4159 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_64/payload_65536-16         	      30	  25208122 ns/op	       257.0 redis_commands/op	   5667672 redis_network_bytes/op	       130.0 redis_round_trips/op	15942221 B/op	    4163 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_64/payload_65536-16         	      30	  28039018 ns/op	       257.0 redis_commands/op	   5667670 redis_network_bytes/op	       130.0 redis_round_trips/op	15944752 B/op	    4166 allocs/op
BenchmarkPublishStateCosts/fair_false/dedup_false-16                     	      30	    107188 ns/op	         1.000 redis_commands/op	       724.7 redis_network_bytes/op	         1.000 redis_round_trips/op	    4476 B/op	      56 allocs/op
BenchmarkPublishStateCosts/fair_false/dedup_false-16                     	      30	    124207 ns/op	         1.000 redis_commands/op	       724.1 redis_network_bytes/op	         1.000 redis_round_trips/op	    4476 B/op	      56 allocs/op
BenchmarkPublishStateCosts/fair_false/dedup_false-16                     	      30	    108356 ns/op	         1.000 redis_commands/op	       724.3 redis_network_bytes/op	         1.000 redis_round_trips/op	    4482 B/op	      56 allocs/op
BenchmarkPublishStateCosts/fair_false/dedup_false-16                     	      30	    114745 ns/op	         1.000 redis_commands/op	       724.7 redis_network_bytes/op	         1.000 redis_round_trips/op	    4476 B/op	      56 allocs/op
BenchmarkPublishStateCosts/fair_false/dedup_false-16                     	      30	     98882 ns/op	         1.000 redis_commands/op	       724.1 redis_network_bytes/op	         1.000 redis_round_trips/op	    4476 B/op	      56 allocs/op
BenchmarkPublishStateCosts/fair_false/dedup_false-16                     	      30	    113936 ns/op	         1.000 redis_commands/op	       724.5 redis_network_bytes/op	         1.000 redis_round_trips/op	    4482 B/op	      56 allocs/op
BenchmarkPublishStateCosts/fair_false/dedup_false-16                     	      30	    118146 ns/op	         1.000 redis_commands/op	       723.9 redis_network_bytes/op	         1.000 redis_round_trips/op	    4476 B/op	      56 allocs/op
BenchmarkPublishStateCosts/fair_false/dedup_false-16                     	      30	    122937 ns/op	         1.000 redis_commands/op	       724.4 redis_network_bytes/op	         1.000 redis_round_trips/op	    4476 B/op	      56 allocs/op
