goos: linux
goarch: amd64
pkg: github.com/aminkbi/taskforge/test/benchmark
cpu: AMD Ryzen 9 5900HS with Radeon Graphics        
BenchmarkSnapshotCosts/metrics/tenants_16/payload_65536-16      	      30	  10954896 ns/op	        81.00 redis_commands/op	   4231347 redis_network_bytes/op	        81.00 redis_round_trips/op	 6916896 B/op	    2555 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_16/payload_65536-16      	      30	  11620655 ns/op	        81.00 redis_commands/op	   4231338 redis_network_bytes/op	        81.00 redis_round_trips/op	 6919147 B/op	    2559 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_16/payload_65536-16      	      30	  10879696 ns/op	        81.00 redis_commands/op	   4231350 redis_network_bytes/op	        81.00 redis_round_trips/op	 6919469 B/op	    2561 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_16/payload_65536-16      	      30	  10693022 ns/op	        81.00 redis_commands/op	   4231338 redis_network_bytes/op	        81.00 redis_round_trips/op	 6916394 B/op	    2554 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_16/payload_65536-16      	      30	  10795330 ns/op	        81.00 redis_commands/op	   4231350 redis_network_bytes/op	        81.00 redis_round_trips/op	 6917549 B/op	    2557 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_16/payload_65536-16      	      30	  10655024 ns/op	        81.00 redis_commands/op	   4231338 redis_network_bytes/op	        81.00 redis_round_trips/op	 6917656 B/op	    2556 allocs/op
BenchmarkSnapshotCosts/metrics/tenants_16/payload_65536-16      	      30	  11123491 ns/op	        81.00 redis_commands/op	   4231347 redis_network_bytes/op	        81.00 redis_round_trips/op	 6920091 B/op	    2561 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_16/payload_65536-16         	      30	  20605536 ns/op	       146.0 redis_commands/op	   8457348 redis_network_bytes/op	       115.0 redis_round_trips/op	13820174 B/op	    4154 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_16/payload_65536-16         	      30	  19805973 ns/op	       146.0 redis_commands/op	   8457360 redis_network_bytes/op	       115.0 redis_round_trips/op	13816547 B/op	    4149 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_16/payload_65536-16         	      30	  20074259 ns/op	       146.0 redis_commands/op	   8457348 redis_network_bytes/op	       115.0 redis_round_trips/op	13818382 B/op	    4149 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_16/payload_65536-16         	      30	  19946543 ns/op	       146.0 redis_commands/op	   8457342 redis_network_bytes/op	       115.0 redis_round_trips/op	13819833 B/op	    4151 allocs/op
BenchmarkSnapshotCosts/admission_age/tenants_16/payload_65536-16         	      30	  20333181 ns/op	       146.0 redis_commands/op	   8457354 redis_network_bytes/op	       115.0 redis_round_trips/op	13818638 B/op	    4151 allocs/op
